"","input","filtered","denoisedF","nonchim","filtered_pct","denoisedF_pct","nonchim_pct"
"M1.D2F31.1",116937,114071,108930,72347,97.5,93.2,61.9
"M10.D5F31.12",114070,112094,107654,78044,98.3,94.4,68.4
"M11.D2C21.1",55841,54887,52265,41240,98.3,93.6,73.9
"M12.D2F41.13",112314,110517,105640,73247,98.4,94.1,65.2
"M13.D2C11.13",100411,98659,95344,66574,98.3,95,66.3
"M15.D5F31.7",113587,111939,109372,78597,98.5,96.3,69.2
"M18.D1F41.1",87861,86022,82665,51528,97.9,94.1,58.6
"M19.D1C22.1",101070,99265,95976,71122,98.2,95,70.4
"M2.D5C11.1",107075,105779,102813,68766,98.8,96,64.2
"M20.D1C22.10",100891,98975,95024,70117,98.1,94.2,69.5
"M21.D5C12.12",100544,98597,93893,67822,98.1,93.4,67.5
"M22.D1C11.10",106276,104744,101986,74501,98.6,96,70.1
"M23.D5F41.1",63247,62370,60045,42043,98.6,94.9,66.5
"M24.D2F31.13",103041,101185,96818,67740,98.2,94,65.7
"M25.D1C12.7",100137,98595,94568,64992,98.5,94.4,64.9
"M26.D1F42.7",102670,101113,97007,59109,98.5,94.5,57.6
"M27.D4C21.15",102468,101182,98756,74242,98.7,96.4,72.5
"M28.D2C22.8",114400,112957,109581,70612,98.7,95.8,61.7
"M29.D2C11.8",94120,92922,90086,58573,98.7,95.7,62.2
"M30.D2C12.13",61404,60652,58119,36450,98.8,94.7,59.4
"M33.D2F41.8",74475,72536,66211,49378,97.4,88.9,66.3
"M34.D5C12.7",113229,111768,108233,74127,98.7,95.6,65.5
"M35.D5C21.1",56107,55341,53328,39376,98.6,95,70.2
"M36.D5F42.12",109237,107614,101793,70221,98.5,93.2,64.3
"M37.D1F32.7",102304,100431,96271,67661,98.2,94.1,66.1
"M38.D1F32.1",110251,108652,105955,70287,98.5,96.1,63.8
"M39.D1F32.10",107652,106108,103610,78426,98.6,96.2,72.9
"M4.D1C21.7",103964,102549,99050,69567,98.6,95.3,66.9
"M40.D2C21.8",108522,107025,103633,72457,98.6,95.5,66.8
"M41.D2F32.8",86358,84823,81552,57557,98.2,94.4,66.6
"M43.D2C11.1",109808,108141,104282,76925,98.5,95,70.1
"M44.D2C22.1",117603,115812,110521,85780,98.5,94,72.9
"M45.D2F32.13",112197,110499,104768,73907,98.5,93.4,65.9
"M48.D5F32.1",101375,98629,90405,65618,97.3,89.2,64.7
"M49.D5F31.1",115379,113381,109739,78197,98.3,95.1,67.8
"M50.D1C22.7",100626,99197,94856,58582,98.6,94.3,58.2
"M51.D1C12.1",113632,112062,108274,78858,98.6,95.3,69.4
"M52.D1C12.10",102214,100487,96341,62523,98.3,94.3,61.2
"M53.D2C12.1",38124,37458,34708,27562,98.3,91,72.3
"M55.D2F41.1",87053,85921,83296,58213,98.7,95.7,66.9
"M56.D2F42.1",86713,85406,81284,57698,98.5,93.7,66.5
"M57.D5C22.12",85327,84023,81487,61759,98.5,95.5,72.4
"M58.D5C11.12",117494,115944,113246,75362,98.7,96.4,64.1
"M60.D5C22.1",99473,97920,94245,66970,98.4,94.7,67.3
"M63.D1F42.10",100309,98984,96239,72464,98.7,95.9,72.2
"M64.D2F42.13",106106,104627,100846,67816,98.6,95,63.9
"M65.D5C21.12",43668,43019,40502,31786,98.5,92.7,72.8
"M66.D5C21.7",81511,80391,77385,48332,98.6,94.9,59.3
"M67.D1F41.7",89276,88122,85223,60861,98.7,95.5,68.2
"M69.D1C21.10",72834,71940,69800,52146,98.8,95.8,71.6
"M7.D1F41.10",118080,116523,113000,80264,98.7,95.7,68
"M72.D2C22.13",110805,109081,104450,69482,98.4,94.3,62.7
"M73.D1C11.1",118689,116529,113397,79750,98.2,95.5,67.2
"M75.D1F31.7",118666,116921,113998,83213,98.5,96.1,70.1
"M76.D4F32.7",105708,103997,100811,70874,98.4,95.4,67
"M77.D1C21.1",74055,72747,69428,50332,98.2,93.8,68
"M78.D5C12.1",114772,113039,109991,67740,98.5,95.8,59
"M8.D5F41.7",108336,106735,101897,72039,98.5,94.1,66.5
"M80.D5F32.7",112129,110814,107501,71601,98.8,95.9,63.9
"M81.D2C12.8",117927,116443,113299,78095,98.7,96.1,66.2
"M82.D5F32.12",118032,116573,113429,76550,98.8,96.1,64.9
"M83.D5F41.12",49416,48467,46839,35726,98.1,94.8,72.3
"M85.D1F42.1",114460,111972,107922,78421,97.8,94.3,68.5
"M86.D2F42.8",104992,102226,94856,57490,97.4,90.3,54.8
"M87.D1F31.1",103140,101528,98365,70671,98.4,95.4,68.5
"M88.D1C11.7",116908,113449,106524,71732,97,91.1,61.4
"M91.D5F42.1",106716,105141,102117,70182,98.5,95.7,65.8
"M92.D1F31.10",113643,112182,107983,78072,98.7,95,68.7
"M93.D2F32.1",119689,117829,114037,83178,98.4,95.3,69.5
"M94.D5F42.7",115759,114183,110982,76431,98.6,95.9,66
"M95.D2C21.13",40705,40122,38723,30106,98.6,95.1,74
"M96.D2F31.8",75385,74452,72043,45328,98.8,95.6,60.1
