"","input","filtered","denoisedF","nonchim","filtered_pct","denoisedF_pct","nonchim_pct"
"M1.D2F31.1",116937,113679,108454,72677,97.2,92.7,62.2
"M10.D5F31.12",114070,111781,107092,76896,98,93.9,67.4
"M11.D2C21.1",55841,54745,52076,41703,98,93.3,74.7
"M12.D2F41.13",112314,110252,104995,73316,98.2,93.5,65.3
"M13.D2C11.13",100411,98397,94706,65169,98,94.3,64.9
"M15.D5F31.7",113587,111643,108803,78254,98.3,95.8,68.9
"M18.D1F41.1",87861,85757,82397,52805,97.6,93.8,60.1
"M19.D1C22.1",101070,98973,95553,70548,97.9,94.5,69.8
"M2.D5C11.1",107075,105526,102315,67603,98.6,95.6,63.1
"M20.D1C22.10",100891,98686,94482,71125,97.8,93.6,70.5
"M21.D5C12.12",100544,98280,93311,64608,97.7,92.8,64.3
"M22.D1C11.10",106276,104460,101459,74348,98.3,95.5,70
"M23.D5F41.1",63247,62200,59559,43926,98.3,94.2,69.5
"M24.D2F31.13",103041,100898,96249,65670,97.9,93.4,63.7
"M25.D1C12.7",100137,98330,93914,64536,98.2,93.8,64.4
"M26.D1F42.7",102670,100852,96434,60282,98.2,93.9,58.7
"M27.D4C21.15",102468,100944,98178,74182,98.5,95.8,72.4
"M28.D2C22.8",114400,112670,108929,71569,98.5,95.2,62.6
"M29.D2C11.8",94120,92700,89361,55601,98.5,94.9,59.1
"M30.D2C12.13",61404,60506,57468,38885,98.5,93.6,63.3
"M33.D2F41.8",74475,72239,65550,48564,97,88,65.2
"M34.D5C12.7",113229,111465,107858,71568,98.4,95.3,63.2
"M35.D5C21.1",56107,55215,52965,40143,98.4,94.4,71.5
"M36.D5F42.12",109237,107334,101244,69362,98.3,92.7,63.5
"M37.D1F32.7",102304,100140,95645,65852,97.9,93.5,64.4
"M38.D1F32.1",110251,108338,105294,69170,98.3,95.5,62.7
"M39.D1F32.10",107652,105841,102974,77644,98.3,95.7,72.1
"M4.D1C21.7",103964,102306,98467,68486,98.4,94.7,65.9
"M40.D2C21.8",108522,106737,103082,72623,98.4,95,66.9
"M41.D2F32.8",86358,84628,81062,55200,98,93.9,63.9
"M43.D2C11.1",109808,107848,103683,76664,98.2,94.4,69.8
"M44.D2C22.1",117603,115487,109858,84800,98.2,93.4,72.1
"M45.D2F32.13",112197,110212,103975,74346,98.2,92.7,66.3
"M48.D5F32.1",101375,98211,89527,65634,96.9,88.3,64.7
"M49.D5F31.1",115379,113022,109335,75702,98,94.8,65.6
"M50.D1C22.7",100626,98915,94136,59656,98.3,93.6,59.3
"M51.D1C12.1",113632,111739,107835,80445,98.3,94.9,70.8
"M52.D1C12.10",102214,100182,95754,63651,98,93.7,62.3
"M53.D2C12.1",38124,37326,34406,26714,97.9,90.2,70.1
"M55.D2F41.1",87053,85715,82650,60273,98.5,94.9,69.2
"M56.D2F42.1",86713,85156,80513,59661,98.2,92.8,68.8
"M57.D5C22.12",85327,83797,80844,61586,98.2,94.7,72.2
"M58.D5C11.12",117494,115616,112586,73874,98.4,95.8,62.9
"M60.D5C22.1",99473,97680,93851,66244,98.2,94.3,66.6
"M63.D1F42.10",100309,98701,95483,71558,98.4,95.2,71.3
"M64.D2F42.13",106106,104313,100193,69003,98.3,94.4,65
"M65.D5C21.12",43668,42916,40135,31052,98.3,91.9,71.1
"M66.D5C21.7",81511,80193,76627,48400,98.4,94,59.4
"M67.D1F41.7",89276,87911,84861,61924,98.5,95.1,69.4
"M69.D1C21.10",72834,71769,69435,51026,98.5,95.3,70.1
"M7.D1F41.10",118080,116253,112393,80288,98.5,95.2,68
"M72.D2C22.13",110805,108792,104060,67442,98.2,93.9,60.9
"M73.D1C11.1",118689,116202,112882,78312,97.9,95.1,66
"M75.D1F31.7",118666,116627,113173,84836,98.3,95.4,71.5
"M76.D4F32.7",105708,103653,99957,71332,98.1,94.6,67.5
"M77.D1C21.1",74055,72544,68827,49260,98,92.9,66.5
"M78.D5C12.1",114772,112714,109354,67833,98.2,95.3,59.1
"M8.D5F41.7",108336,106499,101276,72389,98.3,93.5,66.8
"M80.D5F32.7",112129,110571,106764,73095,98.6,95.2,65.2
"M81.D2C12.8",117927,116139,113054,77491,98.5,95.9,65.7
"M82.D5F32.12",118032,116251,112754,75870,98.5,95.5,64.3
"M83.D5F41.12",49416,48319,46414,36282,97.8,93.9,73.4
"M85.D1F42.1",114460,111566,107115,76007,97.5,93.6,66.4
"M86.D2F42.8",104992,101812,94037,58481,97,89.6,55.7
"M87.D1F31.1",103140,101223,97470,72301,98.1,94.5,70.1
"M88.D1C11.7",116908,112988,105510,71741,96.6,90.3,61.4
"M91.D5F42.1",106716,104868,101105,71986,98.3,94.7,67.5
"M92.D1F31.10",113643,111899,107325,78326,98.5,94.4,68.9
"M93.D2F32.1",119689,117508,113635,82575,98.2,94.9,69
"M94.D5F42.7",115759,113876,110028,74265,98.4,95,64.2
"M95.D2C21.13",40705,40002,38277,30576,98.3,94,75.1
"M96.D2F31.8",75385,74259,71670,45159,98.5,95.1,59.9
