"","input","filtered","denoisedF","nonchim","filtered_pct","denoisedF_pct","nonchim_pct"
"M1.D2F31.1",116937,104157,99987,67379,89.1,85.5,57.6
"M10.D5F31.12",114070,102695,99293,71773,90,87,62.9
"M11.D2C21.1",55841,50497,48409,38283,90.4,86.7,68.6
"M12.D2F41.13",112314,101533,97498,69469,90.4,86.8,61.9
"M13.D2C11.13",100411,89775,86728,61740,89.4,86.4,61.5
"M15.D5F31.7",113587,102576,100154,72224,90.3,88.2,63.6
"M18.D1F41.1",87861,78168,75349,45816,89,85.8,52.1
"M19.D1C22.1",101070,90660,88017,66050,89.7,87.1,65.4
"M2.D5C11.1",107075,97755,95047,65756,91.3,88.8,61.4
"M20.D1C22.10",100891,90520,87234,66086,89.7,86.5,65.5
"M21.D5C12.12",100544,90191,86337,62149,89.7,85.9,61.8
"M22.D1C11.10",106276,95712,93315,69138,90.1,87.8,65.1
"M23.D5F41.1",63247,57286,55138,39845,90.6,87.2,63
"M24.D2F31.13",103041,91951,88524,62976,89.2,85.9,61.1
"M25.D1C12.7",100137,90108,86463,58736,90,86.3,58.7
"M26.D1F42.7",102670,92989,89474,56119,90.6,87.1,54.7
"M27.D4C21.15",102468,93295,90975,68938,91,88.8,67.3
"M28.D2C22.8",114400,103467,100290,67380,90.4,87.7,58.9
"M29.D2C11.8",94120,85737,83125,53098,91.1,88.3,56.4
"M30.D2C12.13",61404,55760,53512,33975,90.8,87.1,55.3
"M33.D2F41.8",74475,65925,60957,46054,88.5,81.8,61.8
"M34.D5C12.7",113229,102222,99074,67007,90.3,87.5,59.2
"M35.D5C21.1",56107,50703,48895,36658,90.4,87.1,65.3
"M36.D5F42.12",109237,99036,94159,65295,90.7,86.2,59.8
"M37.D1F32.7",102304,91568,87889,62557,89.5,85.9,61.1
"M38.D1F32.1",110251,98910,96473,64689,89.7,87.5,58.7
"M39.D1F32.10",107652,97568,95227,72774,90.6,88.5,67.6
"M4.D1C21.7",103964,94505,91394,64432,90.9,87.9,62
"M40.D2C21.8",108522,98344,95197,67199,90.6,87.7,61.9
"M41.D2F32.8",86358,77506,74652,51420,89.7,86.4,59.5
"M43.D2C11.1",109808,99624,96353,72004,90.7,87.7,65.6
"M44.D2C22.1",117603,106524,102251,79981,90.6,86.9,68
"M45.D2F32.13",112197,102001,97052,68835,90.9,86.5,61.4
"M48.D5F32.1",101375,89146,82989,60860,87.9,81.9,60
"M49.D5F31.1",115379,103025,99843,71890,89.3,86.5,62.3
"M50.D1C22.7",100626,90681,86870,53608,90.1,86.3,53.3
"M51.D1C12.1",113632,102748,99269,73462,90.4,87.4,64.6
"M52.D1C12.10",102214,91345,87756,58423,89.4,85.9,57.2
"M53.D2C12.1",38124,34252,31846,25299,89.8,83.5,66.4
"M55.D2F41.1",87053,78703,76149,52948,90.4,87.5,60.8
"M56.D2F42.1",86713,78342,74776,54750,90.3,86.2,63.1
"M57.D5C22.12",85327,76668,74329,57730,89.9,87.1,67.7
"M58.D5C11.12",117494,105415,102809,69202,89.7,87.5,58.9
"M60.D5C22.1",99473,89967,86909,63035,90.4,87.4,63.4
"M63.D1F42.10",100309,91055,88498,66632,90.8,88.2,66.4
"M64.D2F42.13",106106,95959,92660,63795,90.4,87.3,60.1
"M65.D5C21.12",43668,39640,37492,29177,90.8,85.9,66.8
"M66.D5C21.7",81511,74042,71358,44548,90.8,87.5,54.7
"M67.D1F41.7",89276,81690,78909,56196,91.5,88.4,62.9
"M69.D1C21.10",72834,66344,64366,48300,91.1,88.4,66.3
"M7.D1F41.10",118080,107854,104767,75133,91.3,88.7,63.6
"M72.D2C22.13",110805,100241,96095,64461,90.5,86.7,58.2
"M73.D1C11.1",118689,106179,103487,74644,89.5,87.2,62.9
"M75.D1F31.7",118666,106874,104149,76450,90.1,87.8,64.4
"M76.D4F32.7",105708,94744,91788,67016,89.6,86.8,63.4
"M77.D1C21.1",74055,66413,63581,45852,89.7,85.9,61.9
"M78.D5C12.1",114772,103232,100666,62540,89.9,87.7,54.5
"M8.D5F41.7",108336,98938,95036,68084,91.3,87.7,62.8
"M80.D5F32.7",112129,102099,99153,67688,91.1,88.4,60.4
"M81.D2C12.8",117927,106881,103961,73014,90.6,88.2,61.9
"M82.D5F32.12",118032,106470,103546,69001,90.2,87.7,58.5
"M83.D5F41.12",49416,44045,42684,33122,89.1,86.4,67
"M85.D1F42.1",114460,101224,97931,72194,88.4,85.6,63.1
"M86.D2F42.8",104992,91672,86302,51965,87.3,82.2,49.5
"M87.D1F31.1",103140,92690,89692,65349,89.9,87,63.4
"M88.D1C11.7",116908,102103,96861,67177,87.3,82.9,57.5
"M91.D5F42.1",106716,96504,93625,64737,90.4,87.7,60.7
"M92.D1F31.10",113643,103371,99533,73068,91,87.6,64.3
"M93.D2F32.1",119689,108063,104783,77745,90.3,87.5,65
"M94.D5F42.7",115759,104602,101672,69518,90.4,87.8,60.1
"M95.D2C21.13",40705,36823,35473,28233,90.5,87.1,69.4
"M96.D2F31.8",75385,68706,66588,41960,91.1,88.3,55.7
