"","input","filtered","denoisedF","nonchim","filtered_pct","denoisedF_pct","nonchim_pct"
"M1.D2F31.1",116937,114429,109236,72472,97.9,93.4,62
"M10.D5F31.12",114070,112404,108163,77818,98.5,94.8,68.2
"M11.D2C21.1",55841,55050,52648,41411,98.6,94.3,74.2
"M12.D2F41.13",112314,110802,106449,72031,98.7,94.8,64.1
"M13.D2C11.13",100411,98956,95926,67135,98.6,95.5,66.9
"M15.D5F31.7",113587,112232,110121,78008,98.8,96.9,68.7
"M18.D1F41.1",87861,86307,83158,50048,98.2,94.6,57
"M19.D1C22.1",101070,99561,96531,73853,98.5,95.5,73.1
"M2.D5C11.1",107075,105993,103411,67362,99,96.6,62.9
"M20.D1C22.10",100891,99242,95703,69377,98.4,94.9,68.8
"M21.D5C12.12",100544,98889,94620,67232,98.4,94.1,66.9
"M22.D1C11.10",106276,105000,102342,74740,98.8,96.3,70.3
"M23.D5F41.1",63247,62528,60546,42885,98.9,95.7,67.8
"M24.D2F31.13",103041,101465,97621,67621,98.5,94.7,65.6
"M25.D1C12.7",100137,98870,95149,64901,98.7,95,64.8
"M26.D1F42.7",102670,101365,97641,60967,98.7,95.1,59.4
"M27.D4C21.15",102468,101432,99356,72457,99,97,70.7
"M28.D2C22.8",114400,113264,109988,74889,99,96.1,65.5
"M29.D2C11.8",94120,93159,90640,58471,99,96.3,62.1
"M30.D2C12.13",61404,60794,58609,35269,99,95.4,57.4
"M33.D2F41.8",74475,72821,66761,48732,97.8,89.6,65.4
"M34.D5C12.7",113229,112038,108936,73756,98.9,96.2,65.1
"M35.D5C21.1",56107,55505,53629,39719,98.9,95.6,70.8
"M36.D5F42.12",109237,107890,102775,68220,98.8,94.1,62.5
"M37.D1F32.7",102304,100696,96851,68332,98.4,94.7,66.8
"M38.D1F32.1",110251,108917,106461,70020,98.8,96.6,63.5
"M39.D1F32.10",107652,106391,104142,77206,98.8,96.7,71.7
"M4.D1C21.7",103964,102775,99543,70255,98.9,95.7,67.6
"M40.D2C21.8",108522,107309,104279,75014,98.9,96.1,69.1
"M41.D2F32.8",86358,85079,82074,55168,98.5,95,63.9
"M43.D2C11.1",109808,108415,105094,78606,98.7,95.7,71.6
"M44.D2C22.1",117603,116097,111536,85058,98.7,94.8,72.3
"M45.D2F32.13",112197,110778,105690,74795,98.7,94.2,66.7
"M48.D5F32.1",101375,98981,91197,65207,97.6,90,64.3
"M49.D5F31.1",115379,113718,110459,80538,98.6,95.7,69.8
"M50.D1C22.7",100626,99449,95321,56618,98.8,94.7,56.3
"M51.D1C12.1",113632,112343,109161,76884,98.9,96.1,67.7
"M52.D1C12.10",102214,100814,96970,64710,98.6,94.9,63.3
"M53.D2C12.1",38124,37550,35201,27109,98.5,92.3,71.1
"M55.D2F41.1",87053,86130,83748,58592,98.9,96.2,67.3
"M56.D2F42.1",86713,85617,82014,59116,98.7,94.6,68.2
"M57.D5C22.12",85327,84274,81765,61845,98.8,95.8,72.5
"M58.D5C11.12",117494,116267,113966,75144,99,97,64
"M60.D5C22.1",99473,98184,94791,66677,98.7,95.3,67
"M63.D1F42.10",100309,99233,96690,70699,98.9,96.4,70.5
"M64.D2F42.13",106106,104941,101676,70552,98.9,95.8,66.5
"M65.D5C21.12",43668,43129,41008,31623,98.8,93.9,72.4
"M66.D5C21.7",81511,80596,77636,46827,98.9,95.2,57.4
"M67.D1F41.7",89276,88342,86179,60038,99,96.5,67.2
"M69.D1C21.10",72834,72112,70173,52066,99,96.3,71.5
"M7.D1F41.10",118080,116788,113471,82795,98.9,96.1,70.1
"M72.D2C22.13",110805,109390,105344,67631,98.7,95.1,61
"M73.D1C11.1",118689,116868,113952,81292,98.5,96,68.5
"M75.D1F31.7",118666,117238,114551,81035,98.8,96.5,68.3
"M76.D4F32.7",105708,104293,101159,72976,98.7,95.7,69
"M77.D1C21.1",74055,72958,69706,49505,98.5,94.1,66.8
"M78.D5C12.1",114772,113349,110485,65940,98.8,96.3,57.5
"M8.D5F41.7",108336,106995,102397,72357,98.8,94.5,66.8
"M80.D5F32.7",112129,111095,108202,71698,99.1,96.5,63.9
"M81.D2C12.8",117927,116708,113854,77138,99,96.5,65.4
"M82.D5F32.12",118032,116841,114028,74372,99,96.6,63
"M83.D5F41.12",49416,48618,46982,36874,98.4,95.1,74.6
"M85.D1F42.1",114460,112324,108372,79255,98.1,94.7,69.2
"M86.D2F42.8",104992,102619,95619,56432,97.7,91.1,53.7
"M87.D1F31.1",103140,101825,99126,69741,98.7,96.1,67.6
"M88.D1C11.7",116908,113927,107092,73430,97.5,91.6,62.8
"M91.D5F42.1",106716,105410,102626,70355,98.8,96.2,65.9
"M92.D1F31.10",113643,112450,108926,76821,99,95.8,67.6
"M93.D2F32.1",119689,118146,114617,82979,98.7,95.8,69.3
"M94.D5F42.7",115759,114472,111671,74159,98.9,96.5,64.1
"M95.D2C21.13",40705,40233,38977,29159,98.8,95.8,71.6
"M96.D2F31.8",75385,74622,72273,44376,99,95.9,58.9
