"","input","filtered","denoisedF","denoisedR","merged","nonchim","filter_pct","denoiseF_pct","denoiseR_pct","merge_pct","chimera_pct","overall_pct"
"M1.D2F31.1",116937,102754,98726,98140,79881,31103,87.87,96.08,95.51,80.91,38.94,26.6
"M10.D5F31.12",114070,101420,97883,97488,86229,36192,88.91,96.51,96.12,88.09,41.97,31.73
"M11.D2C21.1",55841,49873,47694,47112,39467,18923,89.31,95.63,94.46,82.75,47.95,33.89
"M12.D2F41.13",112314,100276,95831,96046,80748,35926,89.28,95.57,95.78,84.26,44.49,31.99
"M13.D2C11.13",100411,88536,85323,84995,68919,29153,88.17,96.37,96,80.77,42.3,29.03
"M15.D5F31.7",113587,101362,98784,98226,84055,34724,89.24,97.46,96.91,85.09,41.31,30.57
"M18.D1F41.1",87861,77112,74327,73599,60270,26525,87.77,96.39,95.44,81.09,44.01,30.19
"M19.D1C22.1",101070,89553,86671,86278,75757,41218,88.6,96.78,96.34,87.41,54.41,40.78
"M2.D5C11.1",107075,96688,93634,93233,78934,34581,90.3,96.84,96.43,84.3,43.81,32.3
"M20.D1C22.10",100891,89276,85924,85805,72429,33377,88.49,96.25,96.11,84.29,46.08,33.08
"M21.D5C12.12",100544,89033,85076,84920,70802,31208,88.55,95.56,95.38,83.22,44.08,31.04
"M22.D1C11.10",106276,94556,91938,91602,80813,36784,88.97,97.23,96.88,87.9,45.52,34.61
"M23.D5F41.1",63247,56563,54164,53863,44019,20127,89.43,95.76,95.23,81.27,45.72,31.82
"M24.D2F31.13",103041,90662,86990,86803,73982,35022,87.99,95.95,95.74,85.05,47.34,33.99
"M25.D1C12.7",100137,89042,85090,84844,64361,25400,88.92,95.56,95.29,75.64,39.46,25.37
"M26.D1F42.7",102670,91827,87916,88188,68448,25803,89.44,95.74,96.04,77.86,37.7,25.13
"M27.D4C21.15",102468,92204,89698,89146,75009,33074,89.98,97.28,96.68,83.62,44.09,32.28
"M28.D2C22.8",114400,102327,98910,98865,77270,28065,89.45,96.66,96.62,78.12,36.32,24.53
"M29.D2C11.8",94120,84795,81740,82202,66272,28025,90.09,96.4,96.94,81.08,42.29,29.78
"M30.D2C12.13",61404,55092,52422,52492,40500,16389,89.72,95.15,95.28,77.26,40.47,26.69
"M33.D2F41.8",74475,64981,59928,60244,45855,21082,87.25,92.22,92.71,76.52,45.98,28.31
"M34.D5C12.7",113229,100840,97592,97461,81499,30960,89.06,96.78,96.65,83.51,37.99,27.34
"M35.D5C21.1",56107,50007,47912,47442,38190,17354,89.13,95.81,94.87,79.71,45.44,30.93
"M36.D5F42.12",109237,97787,92709,93019,73962,31817,89.52,94.81,95.12,79.78,43.02,29.13
"M37.D1F32.7",102304,90424,86479,86833,68221,26285,88.39,95.64,96.03,78.89,38.53,25.69
"M38.D1F32.1",110251,97548,94888,94647,80014,35839,88.48,97.27,97.03,84.32,44.79,32.51
"M39.D1F32.10",107652,96467,93722,93386,79545,37749,89.61,97.15,96.81,84.87,47.46,35.07
"M4.D1C21.7",103964,93374,89948,89510,71600,30256,89.81,96.33,95.86,79.6,42.26,29.1
"M40.D2C21.8",108522,97269,93978,93523,74408,31981,89.63,96.62,96.15,79.18,42.98,29.47
"M41.D2F32.8",86358,76537,73423,73286,57235,23284,88.63,95.93,95.75,77.95,40.68,26.96
"M43.D2C11.1",109808,98415,95017,94333,80764,40874,89.62,96.55,95.85,85,50.61,37.22
"M44.D2C22.1",117603,105174,100395,100508,82924,39835,89.43,95.46,95.56,82.6,48.04,33.87
"M45.D2F32.13",112197,100859,95512,95755,76513,31839,89.89,94.7,94.94,80.11,41.61,28.38
"M48.D5F32.1",101375,87740,81369,81447,64529,30454,86.55,92.74,92.83,79.3,47.19,30.04
"M49.D5F31.1",115379,101692,98586,98392,82395,35469,88.14,96.95,96.75,83.58,43.05,30.74
"M50.D1C22.7",100626,89552,85494,85813,67415,25744,88.99,95.47,95.82,78.85,38.19,25.58
"M51.D1C12.1",113632,101520,97927,97379,78541,31638,89.34,96.46,95.92,80.2,40.28,27.84
"M52.D1C12.10",102214,90213,86384,86735,69881,26279,88.26,95.76,96.14,80.9,37.61,25.71
"M53.D2C12.1",38124,33760,31289,31500,23925,10898,88.55,92.68,93.31,76.46,45.55,28.59
"M55.D2F41.1",87053,77836,74973,75067,59890,26636,89.41,96.32,96.44,79.88,44.47,30.6
"M56.D2F42.1",86713,77386,73489,73799,57677,25305,89.24,94.96,95.36,78.48,43.87,29.18
"M57.D5C22.12",85327,75779,73139,73348,61665,27597,88.81,96.52,96.79,84.31,44.75,32.34
"M58.D5C11.12",117494,104075,101151,101068,84990,32232,88.58,97.19,97.11,84.02,37.92,27.43
"M60.D5C22.1",99473,88855,85699,85744,73029,33462,89.33,96.45,96.5,85.22,45.82,33.64
"M63.D1F42.10",100309,89945,86942,86961,71011,29496,89.67,96.66,96.68,81.68,41.54,29.41
"M64.D2F42.13",106106,94825,91125,91463,73904,28278,89.37,96.1,96.45,81.1,38.26,26.65
"M65.D5C21.12",43668,39126,36625,37387,29606,12867,89.6,93.61,95.56,80.84,43.46,29.47
"M66.D5C21.7",81511,73162,70210,70549,58120,22217,89.76,95.97,96.43,82.78,38.23,27.26
"M67.D1F41.7",89276,80826,77959,77591,61382,25825,90.53,96.45,96,78.74,42.07,28.93
"M69.D1C21.10",72834,65609,63405,63514,52850,22175,90.08,96.64,96.81,83.35,41.96,30.45
"M7.D1F41.10",118080,106695,103277,102380,89368,42394,90.36,96.8,95.96,86.53,47.44,35.9
"M72.D2C22.13",110805,98996,94857,96120,80670,32477,89.34,95.82,97.09,85.04,40.26,29.31
"M73.D1C11.1",118689,104830,102036,102284,89188,40173,88.32,97.33,97.57,87.41,45.04,33.85
"M75.D1F31.7",118666,105596,102302,102161,85284,35600,88.99,96.88,96.75,83.36,41.74,30
"M76.D4F32.7",105708,93450,90316,90364,76257,30105,88.4,96.65,96.7,84.43,39.48,28.48
"M77.D1C21.1",74055,65546,62488,63453,52887,24947,88.51,95.33,96.81,84.64,47.17,33.69
"M78.D5C12.1",114772,101909,99021,99284,86752,36528,88.79,97.17,97.42,87.61,42.11,31.83
"M8.D5F41.7",108336,97769,93459,93444,79387,32241,90.25,95.59,95.58,84.94,40.61,29.76
"M80.D5F32.7",112129,100896,97374,97463,80798,31146,89.98,96.51,96.6,82.98,38.55,27.78
"M81.D2C12.8",117927,105737,102842,102838,88361,38887,89.66,97.26,97.26,85.92,44.01,32.98
"M82.D5F32.12",118032,105159,101965,102077,86146,33526,89.09,96.96,97.07,84.49,38.92,28.4
"M83.D5F41.12",49416,43451,41976,41740,35805,17519,87.93,96.61,96.06,85.3,48.93,35.45
"M85.D1F42.1",114460,99693,96175,96510,83428,35760,87.1,96.47,96.81,86.75,42.86,31.24
"M86.D2F42.8",104992,90189,84375,85580,69623,27721,85.9,93.55,94.89,82.52,39.82,26.4
"M87.D1F31.1",103140,91517,88028,87606,71744,28807,88.73,96.19,95.73,81.5,40.15,27.93
"M88.D1C11.7",116908,100719,95169,95758,79629,29041,86.15,94.49,95.07,83.67,36.47,24.84
"M91.D5F42.1",106716,95381,92002,91755,74241,31660,89.38,96.46,96.2,80.69,42.64,29.67
"M92.D1F31.10",113643,102087,97939,98069,80263,34131,89.83,95.94,96.06,81.95,42.52,30.03
"M93.D2F32.1",119689,106833,103315,103378,87780,37922,89.26,96.71,96.77,84.96,43.2,31.68
"M94.D5F42.7",115759,103317,100010,99787,82468,26231,89.25,96.8,96.58,82.46,31.81,22.66
"M95.D2C21.13",40705,36384,34950,34631,28804,13087,89.38,96.06,95.18,82.41,45.43,32.15
"M96.D2F31.8",75385,68052,65829,65401,59275,16868,90.27,96.73,96.1,90.04,28.46,22.38
