"","input","filtered","denoisedF","denoisedR","merged","nonchim","input_pct","filtered_pct","denoisedF_pct","denoisedR_pct","merged_pct","nonchim_pct"
"M83.D5F41.12",49416,49397,49397,49397,41526,19626,100,100,100,100,84,39.7
"M85.D1F42.1",114460,114345,114345,114345,96860,41531,100,99.9,99.9,99.9,84.6,36.3
"M86.D2F42.8",104992,104904,104904,104904,82316,31819,100,99.9,99.9,99.9,78.4,30.3
"M87.D1F31.1",103140,103073,103073,103073,83833,32299,100,99.9,99.9,99.9,81.3,31.3
"M88.D1C11.7",116908,116845,116845,116845,93306,33752,100,99.9,99.9,99.9,79.8,28.9
"M91.D5F42.1",106716,106636,106636,106636,86170,36299,100,99.9,99.9,99.9,80.7,34
"M92.D1F31.10",113643,113598,113598,113598,92330,38021,100,100,100,100,81.2,33.5
"M93.D2F32.1",119689,119613,119613,119613,100722,42619,100,99.9,99.9,99.9,84.2,35.6
"M94.D5F42.7",115759,115692,115692,115692,95130,28971,100,99.9,99.9,99.9,82.2,25
"M95.D2C21.13",40705,40680,40680,40680,33233,15121,100,99.9,99.9,99.9,81.6,37.1
"M96.D2F31.8",75385,75357,75357,75357,67479,18541,100,100,100,100,89.5,24.6
